rotten_tomatoes_link,movie_title,genres,directors,original_release_date,runtime,tomatometer_rating,long_review,long_reviews_count,year,genres_list,length_category
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,2010-02-12,119.0,49.0,True,98,2010.0,"['Action & Adventure', ' Comedy', ' Drama', ' Science Fiction & Fantasy']",Short
m/0878835,Please Give,Comedy,Nicole Holofcener,2010-04-30,90.0,87.0,True,107,2010.0,['Comedy'],Short
m/10,10,"Comedy, Romance",Blake Edwards,1979-10-05,122.0,67.0,True,8,1979.0,"['Comedy', ' Romance']",Long
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"Classics, Drama",Sidney Lumet,1957-04-13,95.0,100.0,False,23,1957.0,"['Classics', ' Drama']",Short
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",Richard Fleischer,1954-01-01,127.0,89.0,True,13,1954.0,"['Action & Adventure', ' Drama', ' Kids & Family']",Long
m/10000_bc,"10,000 B.C.","Action & Adventure, Classics, Drama",Roland Emmerich,2008-03-07,109.0,8.0,True,86,2008.0,"['Action & Adventure', ' Classics', ' Drama']",Short
m/1000121-39_steps,The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,1935-08-01,80.0,96.0,False,25,1935.0,"['Action & Adventure', ' Classics', ' Mystery & Suspense']",Short
m/1000123-310_to_yuma,3:10 to Yuma,"Classics, Drama, Western",Delmer Daves,1957-08-07,92.0,96.0,False,14,1957.0,"['Classics', ' Drama', ' Western']",Short
m/10002008-charly,Charly (A Heartbeat Away),"Comedy, Drama, Romance",Adam Thomas Anderegg,2002-09-27,103.0,20.0,False,4,2002.0,"['Comedy', ' Drama', ' Romance']",Short
m/1000204-abraham_lincoln,Abraham Lincoln,"Classics, Drama",D.W. Griffith,1930-11-08,97.0,82.0,False,5,1930.0,"['Classics', ' Drama']",Short
m/10002114-dark_water,Dark Water,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,2002-01-19,100.0,80.0,True,9,2002.0,"['Art House & International', ' Horror', ' Mystery & Suspense']",Short
m/1000224-accused,The Accused,"Drama, Mystery & Suspense",Jonathan Kaplan,1988-10-14,110.0,91.0,False,7,1988.0,"['Drama', ' Mystery & Suspense']",Short
m/10002516-lost_city,The Lost City,Drama,Andy Garcia,2005-09-03,143.0,25.0,False,54,2005.0,['Drama'],Long
m/10002519-breaking_point,The Breaking Point,Drama,Michael Curtiz,1950-10-06,97.0,100.0,False,6,1950.0,['Drama'],Short
m/1000253-adams_rib,Adam's Rib,"Classics, Comedy, Romance",George Cukor,1949-11-18,101.0,96.0,True,11,1949.0,"['Classics', ' Comedy', ' Romance']",Short
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,2005-06-10,124.0,4.0,True,14,2005.0,"['Art House & International', ' Drama', ' Faith & Spirituality']",Long
m/10002673-prowler,The Prowler (Cost of Living ),"Drama, Mystery & Suspense",Joseph Losey,1951-12-03,92.0,100.0,False,7,1951.0,"['Drama', ' Mystery & Suspense']",Short
m/10003276-criminal,Criminal,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",2004-09-24,87.0,69.0,False,63,2004.0,"['Drama', ' Mystery & Suspense']",Short
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,"Action & Adventure, Animation, Kids & Family",Will Vinton,1985-03-01,86.0,80.0,True,1,1985.0,"['Action & Adventure', ' Animation', ' Kids & Family']",Short
m/10003437-deep_blue,Deep Blue,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",2005-06-17,90.0,67.0,True,28,2005.0,"['Documentary', ' Special Interest']",Short
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",1938-05-14,102.0,100.0,True,21,1938.0,"['Action & Adventure', ' Classics', ' Romance']",Short
m/10003876-man_hunt,Man Hunt,"Classics, Drama, Mystery & Suspense",Fritz Lang,1941-01-01,100.0,92.0,False,7,1941.0,"['Classics', ' Drama', ' Mystery & Suspense']",Short
m/10003925-dead_end,Dead End,"Comedy, Horror, Mystery & Suspense","Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea",2003-09-26,83.0,75.0,False,2,2003.0,"['Comedy', ' Horror', ' Mystery & Suspense']",Short
m/10004050-bandwagon,Bandwagon,Comedy,John Schultz,1997-09-12,103.0,80.0,False,1,1997.0,['Comedy'],Short
m/10004069-whore,Whore,"Art House & International, Drama",María Lidón,2004-04-16,77.0,0.0,True,4,2004.0,"['Art House & International', ' Drama']",Short
m/10004209-tristan_and_isolde,Tristan & Isolde,"Drama, Science Fiction & Fantasy, Romance",Kevin Reynolds,2006-01-13,126.0,31.0,True,78,2006.0,"['Drama', ' Science Fiction & Fantasy', ' Romance']",Long
m/10004226-wild_side,Wild Side,"Art House & International, Drama",Sébastien Lifshitz,2005-06-10,94.0,63.0,True,11,2005.0,"['Art House & International', ' Drama']",Short
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,Comedy,Vincent Sassone,2003-11-07,82.0,38.0,True,5,2003.0,['Comedy'],Short
m/10004288-running_scared,Running Scared,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,2006-02-24,121.0,41.0,True,93,2006.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense']",Long
m/10004352-going_the_distance,Going the Distance,Comedy,Mark Griffiths,2004-08-20,93.0,0.0,False,1,2004.0,['Comedy'],Short
m/10004504-ultraviolet,Ultraviolet,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,2006-03-03,88.0,8.0,True,49,2006.0,"['Action & Adventure', ' Drama', ' Horror', ' Science Fiction & Fantasy']",Short
m/10004635-home_of_the_brave,Home of the Brave,"Action & Adventure, Documentary, Drama, Special Interest",Paola di Florio,2004-05-11,75.0,93.0,True,7,2004.0,"['Action & Adventure', ' Documentary', ' Drama', ' Special Interest']",Short
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),"Animation, Kids & Family, Science Fiction & Fantasy",Luc Besson,2007-01-12,94.0,22.0,True,67,2007.0,"['Animation', ' Kids & Family', ' Science Fiction & Fantasy']",Short
m/10004684-malevolence,Malevolence,Horror,Stevan Mena,2004-09-10,90.0,33.0,False,9,2004.0,['Horror'],Short
m/10004697-eternal,Eternal,"Horror, Mystery & Suspense","Wilhelm Liebenberg, Federico Sanchez",2004-08-26,108.0,21.0,True,19,2004.0,"['Horror', ' Mystery & Suspense']",Short
m/10004835-farewell_to_arms,A Farewell To Arms,"Classics, Drama, Romance","Charles Vidor, John Hudson, John Huston",1957-12-14,150.0,0.0,True,9,1957.0,"['Classics', ' Drama', ' Romance']",Long
m/10004890-narrow_margin,The Narrow Margin,"Classics, Drama, Mystery & Suspense",Richard Fleischer,1952-05-04,71.0,100.0,False,4,1952.0,"['Classics', ' Drama', ' Mystery & Suspense']",Short
m/10004925-matador,The Matador,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard",2006-01-27,97.0,75.0,True,94,2006.0,"['Action & Adventure', ' Comedy', ' Drama', ' Mystery & Suspense']",Short
m/10005057-smile,Smile,"Art House & International, Comedy, Drama","Jeff Kramer, Jeffrey Kramer",2005-04-08,107.0,15.0,False,8,2005.0,"['Art House & International', ' Comedy', ' Drama']",Short
m/10005104-intruder,The Intruder (L'Intrus),"Art House & International, Drama",Claire Denis,2005-12-23,130.0,87.0,True,18,2005.0,"['Art House & International', ' Drama']",Long
m/10005178-saint_ralph,Saint Ralph,"Comedy, Drama",Michael McGowan,2005-08-05,98.0,64.0,True,43,2005.0,"['Comedy', ' Drama']",Short
m/10005403-the_baxter,The Baxter,"Comedy, Romance",Michael Showalter,2005-08-26,91.0,32.0,True,46,2005.0,"['Comedy', ' Romance']",Short
m/10005499-oliver_twist,Oliver Twist,"Drama, Kids & Family",Roman Polanski,2005-09-30,130.0,61.0,True,87,2005.0,"['Drama', ' Kids & Family']",Long
m/1000560-alamo,The Alamo,"Action & Adventure, Classics, Drama, Western",John Wayne,1960-10-24,192.0,52.0,True,10,1960.0,"['Action & Adventure', ' Classics', ' Drama', ' Western']",Long
m/10005755-g,G,"Drama, Romance",Christopher Scott Cherot,2005-09-16,96.0,24.0,True,17,2005.0,"['Drama', ' Romance']",Short
m/1000580-alexander_the_great,Alexander the Great,Classics,Robert Rossen,1956-03-28,141.0,0.0,False,2,1956.0,['Classics'],Long
m/1000581-alfie,Alfie,"Classics, Comedy, Drama, Romance",Lewis Gilbert,1966-08-24,114.0,96.0,True,14,1966.0,"['Classics', ' Comedy', ' Drama', ' Romance']",Short
m/10005819-10005819-neverwas,Neverwas,"Drama, Mystery & Suspense",Joshua Michael Stern,2005-09-09,102.0,14.0,True,5,2005.0,"['Drama', ' Mystery & Suspense']",Short
m/10006007-the_second_chance,The Second Chance,"Drama, Faith & Spirituality",Steve Taylor,2006-02-17,104.0,44.0,True,11,2006.0,"['Drama', ' Faith & Spirituality']",Short
m/10006057-moonlight,Moonlight,"Drama, Mystery & Suspense",Paula Van der Oest,2003-10-17,90.0,60.0,True,8,2003.0,"['Drama', ' Mystery & Suspense']",Short
m/1000617-aliens,Aliens,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,1986-07-18,137.0,97.0,False,44,1986.0,"['Action & Adventure', ' Horror', ' Science Fiction & Fantasy']",Long
m/10006188-rise,Rise: Blood Hunter,"Horror, Mystery & Suspense",Sebastian Gutierrez,2007-06-01,97.0,36.0,True,9,2007.0,"['Horror', ' Mystery & Suspense']",Short
m/1000626-all_about_eve,All About Eve,"Classics, Drama",Joseph L. Mankiewicz,1950-01-01,138.0,99.0,True,45,1950.0,"['Classics', ' Drama']",Long
m/10006270,When Do We Eat?,Comedy,Salvador Litvak,2006-04-07,87.0,42.0,True,22,2006.0,['Comedy'],Short
m/10006324,The Mostly Unfabulous Social Life of Ethan Green,"Comedy, Drama",George Bamber,2006-06-16,88.0,30.0,False,13,2006.0,"['Comedy', ' Drama']",Short
m/10006343-dirty,Dirty,Drama,Chris Fisher,2006-02-24,97.0,21.0,True,16,2006.0,['Drama'],Short
m/10006370-stay_alive,Stay Alive,"Horror, Mystery & Suspense",William Brent Bell,2006-03-24,85.0,10.0,False,35,2006.0,"['Horror', ' Mystery & Suspense']",Short
m/1000640-all_of_me,All of Me,"Comedy, Science Fiction & Fantasy",Carl Reiner,1984-09-21,93.0,85.0,False,18,1984.0,"['Comedy', ' Science Fiction & Fantasy']",Short
m/10006434-dreamland,Dreamland,"Art House & International, Drama",Jason Matzner,2006-12-19,88.0,67.0,True,7,2006.0,"['Art House & International', ' Drama']",Short
m/10006485-black_gold,Independent Lens,"Documentary, Special Interest","Mark Francis, Marc Francis, Nick Francis",2006-10-06,77.0,84.0,True,33,2006.0,"['Documentary', ' Special Interest']",Short
m/1000654-all_the_kings_men,All the King's Men,"Classics, Drama",Robert Rossen,1949-11-08,109.0,95.0,True,24,1949.0,"['Classics', ' Drama']",Short
m/10006588-street_fight,Street Fight,"Documentary, Special Interest",Marshall Curry,2005-01-01,86.0,100.0,False,14,2005.0,"['Documentary', ' Special Interest']",Short
m/10006780-lost_horizon,Lost Horizon,"Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy",Charles Jarrott,1973-03-17,143.0,20.0,False,4,1973.0,"['Action & Adventure', ' Drama', ' Musical & Performing Arts', ' Science Fiction & Fantasy']",Long
m/10006848-the_motel,The Motel,"Comedy, Drama",Michael Kang,2005-06-28,76.0,88.0,False,23,2005.0,"['Comedy', ' Drama']",Short
m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary, Sports & Fitness","Paul Crowder, John Dower",2006-05-18,97.0,81.0,True,42,2006.0,"['Documentary', ' Sports & Fitness']",Short
m/10006856-requiem,Requiem,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,2006-10-20,92.0,86.0,True,25,2006.0,"['Art House & International', ' Drama', ' Horror', ' Mystery & Suspense']",Short
m/10006940-silk,Gui si (Silk),"Art House & International, Horror, Mystery & Suspense",Chao-Bin Su,2006-05-24,117.0,40.0,True,5,2006.0,"['Art House & International', ' Horror', ' Mystery & Suspense']",Short
m/10007139-park,Park,"Art House & International, Comedy, Drama",Kurt Voelker,2006-06-12,86.0,36.0,True,8,2006.0,"['Art House & International', ' Comedy', ' Drama']",Short
m/10007142-the_4th_dimension,The 4th Dimension,"Drama, Science Fiction & Fantasy","Tom Mattera, Dave Mazzoni",2006-04-01,82.0,63.0,False,2,2006.0,"['Drama', ' Science Fiction & Fantasy']",Short
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop","Action & Adventure, Comedy",Eric Canuel,2006-07-04,116.0,78.0,True,4,2006.0,"['Action & Adventure', ' Comedy']",Short
m/10007415-amazing_grace,Amazing Grace,"Drama, Mystery & Suspense",Michael Apted,2007-02-23,116.0,67.0,False,91,2007.0,"['Drama', ' Mystery & Suspense']",Short
m/10007598-cocaine_cowboys,Cocaine Cowboys,Documentary,Billy Corben,2006-10-27,116.0,69.0,True,37,2006.0,['Documentary'],Short
m/10007614-gone,Gone,"Horror, Mystery & Suspense",Ringan Ledwidge,2007-03-09,88.0,54.0,True,6,2007.0,"['Horror', ' Mystery & Suspense']",Short
m/10007714-situation,The Situation,"Drama, Mystery & Suspense",Philip Haas,2006-10-18,106.0,35.0,False,35,2006.0,"['Drama', ' Mystery & Suspense']",Short
m/10007821-snow_blind,Snow Blind,"Documentary, Sports & Fitness",Christopher J. Scott,2006-12-01,105.0,20.0,True,5,2006.0,"['Documentary', ' Sports & Fitness']",Short
m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,"Art House & International, Drama",Sterlin Harjo,2007-01-22,81.0,100.0,True,4,2007.0,"['Art House & International', ' Drama']",Short
m/10007886-the_tigers_tail,The Tiger's Tail,"Comedy, Drama, Mystery & Suspense",John Boorman,2006-09-26,106.0,14.0,False,11,2006.0,"['Comedy', ' Drama', ' Mystery & Suspense']",Short
m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,"Comedy, Romance",Nick Hurran,2006-12-26,95.0,67.0,False,3,2006.0,"['Comedy', ' Romance']",Short
m/10007898-slipstream,Slipstream,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",Anthony Hopkins,2007-10-26,97.0,25.0,True,23,2007.0,"['Art House & International', ' Comedy', ' Drama', ' Science Fiction & Fantasy']",Short
m/10007902-delirious,Delirious,"Comedy, Drama",Tom DiCillo,2007-08-15,107.0,83.0,True,46,2007.0,"['Comedy', ' Drama']",Short
m/10007916_interview,Interview,"Art House & International, Drama",Steve Buscemi,2007-07-13,84.0,58.0,True,84,2007.0,"['Art House & International', ' Drama']",Short
m/1000792-american_anthem,American Anthem,"Action & Adventure, Documentary, Drama",Albert Magnoli,1986-06-01,102.0,0.0,True,7,1986.0,"['Action & Adventure', ' Documentary', ' Drama']",Short
m/10007947-ten,The Ten,Comedy,David Wain,2007-01-18,99.0,35.0,False,55,2007.0,['Comedy'],Short
m/10007985-happening,The Happening,"Drama, Mystery & Suspense, Science Fiction & Fantasy",M. Night Shyamalan,2008-06-11,89.0,17.0,True,127,2008.0,"['Drama', ' Mystery & Suspense', ' Science Fiction & Fantasy']",Short
m/10008005-moliere,Molière,Comedy,"Laurent Tirard, Laurent Sivot",2007-07-27,120.0,69.0,True,61,2007.0,['Comedy'],Short
m/10008126-straightheads,Straightheads (Closure),"Drama, Mystery & Suspense",Dan Reed,2007-04-27,88.0,40.0,True,7,2007.0,"['Drama', ' Mystery & Suspense']",Short
m/10008140-borderland,Borderland,"Drama, Horror, Mystery & Suspense",Zev Berman,2007-11-09,104.0,100.0,True,5,2007.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/10008200-spiral,Spiral,"Drama, Mystery & Suspense","Adam Green, Joel David Moore",2007-01-27,90.0,55.0,True,7,2007.0,"['Drama', ' Mystery & Suspense']",Short
m/10008234-alexandra,Alexandra,Drama,Aleksandr Sokurov,2007-05-25,95.0,88.0,True,36,2007.0,['Drama'],Short
m/10008390_blood_and_tears,Blood and Tears: The Arab-Israeli Conflict,Documentary,Isidore Rosmarin,2007-06-15,73.0,50.0,True,6,2007.0,['Documentary'],Short
m/10008423-cool_school,The Cool School,"Documentary, Musical & Performing Arts",Morgan Neville,2008-03-07,86.0,92.0,False,17,2008.0,"['Documentary', ' Musical & Performing Arts']",Short
m/10008496-pathology,Pathology,"Drama, Mystery & Suspense","Marc Scholermann, Marc Schoelermann",2008-04-18,93.0,45.0,True,12,2008.0,"['Drama', ' Mystery & Suspense']",Short
m/10008502-christmas_carol,Disney's A Christmas Carol,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Robert Zemeckis,2009-11-06,95.0,52.0,False,148,2009.0,"['Animation', ' Drama', ' Kids & Family', ' Science Fiction & Fantasy']",Short
m/10008507-deep_water,Deep Water,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell",2006-09-03,93.0,96.0,False,35,2006.0,"['Documentary', ' Special Interest']",Short
m/10008562-road_to_victory,Road to Victory,"Art House & International, Drama, Sports & Fitness",Mike Reilly,2007-03-18,99.0,78.0,True,6,2007.0,"['Art House & International', ' Drama', ' Sports & Fitness']",Short
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,Comedy,Raja Gosnell,2008-09-30,91.0,40.0,True,70,2008.0,['Comedy'],Short
m/10008601-fireflies_in_the_garden,Fireflies in the Garden,Drama,Dennis Lee (III),2011-10-14,98.0,22.0,False,36,2011.0,['Drama'],Short
m/10008606-eye,The Eye,"Drama, Horror, Mystery & Suspense","David Moreau, Xavier Palud",2008-02-01,97.0,21.0,True,50,2008.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/10008607-day_of_the_dead,Day of the Dead,"Horror, Mystery & Suspense",Steve Miner,2008-04-01,87.0,13.0,False,3,2008.0,"['Horror', ' Mystery & Suspense']",Short
m/10008611-my_best_friends_girl,My Best Friend's Girl,"Comedy, Drama",Howard Deutch,2008-09-18,103.0,14.0,False,36,2008.0,"['Comedy', ' Drama']",Short
m/10008613-burrowers,The Burrowers,"Horror, Mystery & Suspense, Western",J.T. Petty,2008-09-01,96.0,75.0,False,6,2008.0,"['Horror', ' Mystery & Suspense', ' Western']",Short
m/10008617-midnight_meat_train,The Midnight Meat Train,"Drama, Horror, Mystery & Suspense",Ryuhei Kitamura,2008-08-14,100.0,73.0,True,20,2008.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/10008618-return,The Lucky Ones,"Comedy, Drama",Neil Burger,2008-09-26,115.0,37.0,False,48,2008.0,"['Comedy', ' Drama']",Short
m/10008621-run_fat_boy_run,Run Fatboy Run,Comedy,David Schwimmer,2007-09-07,100.0,47.0,False,113,2007.0,['Comedy'],Short
m/10008652-closing_escrow,Closing Escrow,Comedy,"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn",2007-02-28,95.0,54.0,True,10,2007.0,['Comedy'],Short
m/10008655-whiteout,Whiteout,"Action & Adventure, Drama, Mystery & Suspense",Dominic Sena,2009-09-11,101.0,7.0,False,72,2009.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense']",Short
m/10008661-randy_and_the_mob,Randy and the Mob,"Comedy, Documentary",Ray McKinnon,2007-10-13,99.0,56.0,True,6,2007.0,"['Comedy', ' Documentary']",Short
m/10008667-black_irish,Black Irish,Drama,Brad Gann,2007-10-26,94.0,31.0,False,9,2007.0,['Drama'],Short
m/10008678-wild_child,Wild Child,Comedy,"Nicholas Moore, Nick Moore",2008-08-14,98.0,41.0,True,18,2008.0,['Comedy'],Short
m/10008687-powder_blue,Powder Blue,Drama,Timothy Linh Bui,2009-05-08,108.0,25.0,False,5,2009.0,['Drama'],Short
m/10008698-king_corn,King Corn,"Documentary, Musical & Performing Arts, Special Interest","Curt Ellis, Ian Cheney, Aaron Woolf",2007-10-12,90.0,96.0,True,16,2007.0,"['Documentary', ' Musical & Performing Arts', ' Special Interest']",Short
m/10008699-terrors_advocate,L' Avocat de la Terreur (Terror's Advocate),"Art House & International, Documentary, Special Interest",Barbet Schroeder,2007-05-18,138.0,87.0,False,28,2007.0,"['Art House & International', ' Documentary', ' Special Interest']",Long
m/10008700-darfur_now,Darfur Now,"Documentary, Drama, Musical & Performing Arts, Special Interest",Ted Braun,2007-11-09,99.0,73.0,True,39,2007.0,"['Documentary', ' Drama', ' Musical & Performing Arts', ' Special Interest']",Short
m/10008701-laaga_chunari_mein_daag,Laaga Chunari Mein Daag - Journey of a Woman,"Art House & International, Drama",Pradeep Sarkar,2007-10-12,138.0,50.0,True,4,2007.0,"['Art House & International', ' Drama']",Long
m/10008703-rails_and_ties,Rails & Ties,Drama,Alison Eastwood,2007-10-26,101.0,34.0,True,30,2007.0,['Drama'],Short
m/10008705-mr_untouchable,Mr. Untouchable,Documentary,Marc Levin,2007-10-26,92.0,73.0,False,12,2007.0,['Documentary'],Short
m/10008706-house,House,"Drama, Horror, Mystery & Suspense",Robby Henson,2008-11-07,88.0,0.0,True,11,2008.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/10008744-canvas,Canvas,Drama,Joseph Greco,2007-10-12,101.0,78.0,False,17,2007.0,['Drama'],Short
m/10008747-skid_row,Skid Row,"Documentary, Special Interest","Ross Clarke, Niva Dorell, Marshall Tyler",2007-08-24,80.0,83.0,True,5,2007.0,"['Documentary', ' Special Interest']",Short
m/10008748-saawariya,Saawariya,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,2007-11-09,146.0,38.0,False,11,2007.0,"['Art House & International', ' Drama', ' Musical & Performing Arts', ' Romance']",Long
m/10008752-aaja_nachle,Aaja Nachle,"Art House & International, Drama, Musical & Performing Arts, Romance",Anil Mehta,2007-11-30,147.0,67.0,False,4,2007.0,"['Art House & International', ' Drama', ' Musical & Performing Arts', ' Romance']",Long
m/10008754-flawless,Flawless,"Drama, Mystery & Suspense",Michael Radford,2008-03-28,106.0,55.0,True,60,2008.0,"['Drama', ' Mystery & Suspense']",Short
m/10008760-what_happens_in_vegas,What Happens in Vegas,"Comedy, Romance",Tom Vaughan,2008-04-22,99.0,26.0,True,92,2008.0,"['Comedy', ' Romance']",Short
m/10008785-appaloosa,Appaloosa,"Action & Adventure, Western",Ed Harris,2008-10-03,116.0,76.0,True,113,2008.0,"['Action & Adventure', ' Western']",Short
m/10008786-good,Good,Drama,Vicente Amorim,2008-09-08,96.0,32.0,True,53,2008.0,['Drama'],Short
m/10008820-visitor,The Visitor,Drama,,2008-04-25,103.0,89.0,True,83,2008.0,['Drama'],Short
m/10008830-bill,Meet Bill,Comedy,"Melisa Wallack, Bernie Goldmann",2008-04-04,92.0,20.0,True,10,2008.0,['Comedy'],Short
m/10008849-married_life,Married Life,"Comedy, Drama, Mystery & Suspense, Romance",Ira Sachs,2008-03-07,90.0,54.0,True,88,2008.0,"['Comedy', ' Drama', ' Mystery & Suspense', ' Romance']",Short
m/10008856-badland,Badland,Drama,Francesco Lucente,2007-11-30,165.0,16.0,True,12,2007.0,['Drama'],Long
m/10008924-oxford_murders,The Oxford Murders,"Art House & International, Drama, Horror, Mystery & Suspense",Álex de la Iglesia,2010-08-06,110.0,17.0,True,9,2010.0,"['Art House & International', ' Drama', ' Horror', ' Mystery & Suspense']",Short
m/10008954-untraceable,Untraceable,"Drama, Horror, Mystery & Suspense",Gregory Hoblit,2008-01-25,101.0,16.0,True,99,2008.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/10008991-informers,The Informers,"Drama, Mystery & Suspense",Gregor Jordan,2009-04-24,98.0,12.0,False,70,2009.0,"['Drama', ' Mystery & Suspense']",Short
m/10008992-meeting_resistance,Meeting Resistance,"Documentary, Special Interest","Molly Bingham, Steve Connors",2007-10-19,84.0,82.0,False,16,2007.0,"['Documentary', ' Special Interest']",Short
m/10009001-the_freshman,The Freshman,"Comedy, Drama",Andrew Bergman,1990-07-20,102.0,94.0,False,20,1990.0,"['Comedy', ' Drama']",Short
m/10009005-a_bloody_aria,Guta-yubalja-deul (A Bloody Aria),"Art House & International, Drama, Mystery & Suspense",Shin-yeon Won,2006-05-31,115.0,42.0,True,17,2006.0,"['Art House & International', ' Drama', ' Mystery & Suspense']",Short
m/10009029-kenny,Kenny,Comedy,Clayton Jacobson,2008-03-21,100.0,100.0,False,14,2008.0,['Comedy'],Short
m/10009055-rocker,The Rocker,"Comedy, Drama",Peter Cattaneo,2008-06-12,102.0,41.0,True,82,2008.0,"['Comedy', ' Drama']",Short
m/10009063-perfect_holiday,The Perfect Holiday,"Kids & Family, Romance",Lance Rivera,2007-12-12,96.0,19.0,True,34,2007.0,"['Kids & Family', ' Romance']",Short
m/10009066-la_graine_et_le_mulet,La Graine et le Mulet (The Secret of the Grain) (Couscous),"Art House & International, Drama",Abdel Kechiche,2007-09-03,151.0,93.0,False,44,2007.0,"['Art House & International', ' Drama']",Long
m/10009083-land_of_the_lost,Land of the Lost,"Action & Adventure, Comedy, Science Fiction & Fantasy","Brad Silberling, Adam McKay",2009-06-05,102.0,26.0,True,126,2009.0,"['Action & Adventure', ' Comedy', ' Science Fiction & Fantasy']",Short
m/10009132-rec,[Rec],"Art House & International, Horror, Special Interest","Jaume Balagueró, Paco Plaza",2007-11-23,78.0,89.0,True,28,2007.0,"['Art House & International', ' Horror', ' Special Interest']",Short
m/10009138-look,Look,"Comedy, Drama",Adam Rifkin,2007-12-14,98.0,60.0,False,21,2007.0,"['Comedy', ' Drama']",Short
m/1000915-and_god_created_woman,And God Created Woman,"Classics, Comedy, Drama, Romance",Roger Vadim,1988-01-01,98.0,38.0,False,1,1988.0,"['Classics', ' Comedy', ' Drama', ' Romance']",Short
m/10009151-box,The Box,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,2009-11-06,113.0,44.0,True,122,2009.0,"['Horror', ' Mystery & Suspense', ' Science Fiction & Fantasy']",Short
m/10009169-man_in_the_chair,Man in the Chair,"Comedy, Drama",Michael Schroeder,2007-12-07,109.0,50.0,False,19,2007.0,"['Comedy', ' Drama']",Short
m/10009172-undoing,Undoing,"Drama, Mystery & Suspense",Chris Chan Lee,2006-06-24,90.0,31.0,True,7,2006.0,"['Drama', ' Mystery & Suspense']",Short
m/10009176-black_water,Black Water,"Horror, Mystery & Suspense","David Nerlich, Andrew Traucki",2008-02-19,90.0,80.0,True,13,2008.0,"['Horror', ' Mystery & Suspense']",Short
m/10009192-21,21,"Drama, Mystery & Suspense",Robert Luketic,2008-03-28,122.0,35.0,False,102,2008.0,"['Drama', ' Mystery & Suspense']",Long
m/10009210-duchess_of_langeais,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),"Art House & International, Drama, Romance",Jacques Rivette,2007-02-15,137.0,70.0,False,44,2007.0,"['Art House & International', ' Drama', ' Romance']",Long
m/10009212-ben_x,Ben X,"Art House & International, Drama, Mystery & Suspense",Nic Balthazar,2007-09-26,93.0,68.0,True,25,2007.0,"['Art House & International', ' Drama', ' Mystery & Suspense']",Short
m/10009225-body_of_lies,Body of Lies,"Drama, Mystery & Suspense",Ridley Scott,2008-10-08,128.0,55.0,True,148,2008.0,"['Drama', ' Mystery & Suspense']",Long
m/10009239-passengers,Passengers,"Drama, Mystery & Suspense",Rodrigo García,2008-10-24,92.0,19.0,False,22,2008.0,"['Drama', ' Mystery & Suspense']",Short
m/10009244-the_grand,The Grand,Comedy,Zak Penn,2008-01-11,104.0,40.0,False,32,2008.0,['Comedy'],Short
