rotten_tomatoes_link,movie_title,genres,directors,original_release_date,runtime,tomatometer_rating,long_review,long_reviews_count,year,genres_list,length_category
m/under_the_shadow,Under The Shadow,"Art House & International, Horror, Mystery & Suspense",Babak Anvari,2016-10-07,84.0,99.0,True,76,2016.0,"['Art House & International', ' Horror', ' Mystery & Suspense']",Short
m/under_the_silver_lake,Under the Silver Lake,"Comedy, Drama, Mystery & Suspense",David Robert Mitchell,2019-04-19,139.0,59.0,True,115,2019.0,"['Comedy', ' Drama', ' Mystery & Suspense']",Long
m/under_the_skin_2013,Under the Skin,Science Fiction & Fantasy,Jonathan Glazer,2014-04-04,108.0,85.0,True,179,2014.0,['Science Fiction & Fantasy'],Short
m/under_the_sun_2016,Under The Sun,Documentary,Vitaliy Manskiy,2016-07-06,106.0,94.0,False,24,2016.0,['Documentary'],Short
m/under_the_tuscan_sun,Under the Tuscan Sun,"Comedy, Drama, Romance",Audrey Wells,2003-09-26,113.0,62.0,True,88,2003.0,"['Comedy', ' Drama', ' Romance']",Short
m/under_the_yum_yum_tree,Under the Yum Yum Tree,"Classics, Comedy, Romance",David Swift,1963-10-23,110.0,17.0,True,3,1963.0,"['Classics', ' Comedy', ' Romance']",Short
m/underclassman,Underclassman,"Action & Adventure, Comedy, Drama",Marcos Siega,2005-09-02,94.0,6.0,True,54,2005.0,"['Action & Adventure', ' Comedy', ' Drama']",Short
m/undercover_brother,Undercover Brother,Comedy,Malcolm D. Lee,2002-05-31,85.0,77.0,True,56,2002.0,['Comedy'],Short
m/underdog,Underdog,"Action & Adventure, Comedy, Kids & Family",Frederik Du Chau,2007-08-03,80.0,16.0,True,43,2007.0,"['Action & Adventure', ' Comedy', ' Kids & Family']",Short
m/undertaking_betty,Undertaking Betty,"Comedy, Drama, Romance","Nich Hurran, Nick Hurran",2003-01-01,94.0,50.0,False,1,2003.0,"['Comedy', ' Drama', ' Romance']",Short
m/undertow,Undertow,"Drama, Mystery & Suspense",David Gordon Green,2004-12-17,107.0,55.0,True,66,2004.0,"['Drama', ' Mystery & Suspense']",Short
m/undertow_2009,Undertow,"Art House & International, Drama, Mystery & Suspense",Javier Fuentes-León,2010-11-26,,88.0,True,19,2010.0,"['Art House & International', ' Drama', ' Mystery & Suspense']",Short
m/underwater_2020,Underwater,"Action & Adventure, Mystery & Suspense",William Eubank,2020-01-10,95.0,48.0,True,152,2020.0,"['Action & Adventure', ' Mystery & Suspense']",Short
m/underworld,Underworld,"Action & Adventure, Horror, Science Fiction & Fantasy",Len Wiseman,2003-09-19,121.0,31.0,True,83,2003.0,"['Action & Adventure', ' Horror', ' Science Fiction & Fantasy']",Long
m/underworld_awakening,Underworld: Awakening,"Action & Adventure, Horror, Science Fiction & Fantasy","Björn Stein, Måns Mårlind",2012-01-20,89.0,26.0,True,51,2012.0,"['Action & Adventure', ' Horror', ' Science Fiction & Fantasy']",Short
m/underworld_blood_wars_2017,Underworld: Blood Wars,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Anna Foerster,2017-01-06,92.0,21.0,False,60,2017.0,"['Action & Adventure', ' Drama', ' Horror', ' Science Fiction & Fantasy']",Short
m/underworld_evolution,Underworld: Evolution,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Len Wiseman,2006-01-20,105.0,17.0,True,61,2006.0,"['Action & Adventure', ' Horror', ' Mystery & Suspense', ' Science Fiction & Fantasy']",Short
m/underworld_rise_of_the_lycans,Underworld: The Rise of the Lycans,"Action & Adventure, Horror, Science Fiction & Fantasy",Patrick Tatopoulos,2009-01-23,92.0,29.0,False,54,2009.0,"['Action & Adventure', ' Horror', ' Science Fiction & Fantasy']",Short
m/undiscovered,Undiscovered,"Comedy, Drama, Romance",Meiert Avis,2005-08-26,98.0,8.0,True,46,2005.0,"['Comedy', ' Drama', ' Romance']",Short
m/undisputed,Undisputed,"Action & Adventure, Drama",Walter Hill,2002-08-23,94.0,48.0,False,52,2002.0,"['Action & Adventure', ' Drama']",Short
m/undrafted_2016,Undrafted,"Comedy, Drama, Kids & Family",Joseph Mazzello,2016-07-15,100.0,25.0,False,6,2016.0,"['Comedy', ' Drama', ' Kids & Family']",Short
m/une_vieille_maitresse,Une Vieille Maîtresse (The Last Mistress) (An Old Mistress),"Art House & International, Drama",Catherine Breillat,2007-05-25,104.0,77.0,True,64,2007.0,"['Art House & International', ' Drama']",Short
m/unexpected_2015,Unexpected,"Comedy, Drama",Kris Rey,2015-07-24,85.0,66.0,True,36,2015.0,"['Comedy', ' Drama']",Short
m/unfaithful,Unfaithful,"Drama, Mystery & Suspense",Adrian Lyne,2002-05-08,124.0,50.0,False,84,2002.0,"['Drama', ' Mystery & Suspense']",Long
m/unfinished_business_2015,Unfinished Business,Comedy,Ken Scott (V),2015-03-06,90.0,10.0,True,73,2015.0,['Comedy'],Short
